書名,作者,語言,折扣,價格,連結
精通 Python：運用簡單的套件進行現代運算(第二版),Bill Lubanovic  賴屹民,中文書,9,792,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010858475/page/1/idx/38/cat/001/pdf/1/spell/3
Python網路爬蟲：大數據擷取、清洗、儲存與分析 王者歸來(第二版),洪錦魁,中文書,79,592,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010905508/page/1/idx/39/cat/001/pdf/1/spell/3
從零開始學Python程式設計(第六版)(適用Python 3.10以上),李馨,中文書,75,540,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010998505/page/1/idx/40/cat/001/pdf/1/spell/3
Python建模與模擬|科學家與工程師的入門指南,Allen B. Downey  楊新章,中文書,9,522,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011000194/page/1/idx/41/cat/001/pdf/1/spell/3
零基礎Python程式設計入門,數位新知,中文書,95,333,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011010429/page/1/idx/42/cat/001/pdf/1/spell/3
圖說運算思維與演算邏輯：使用Python+ChatGPT，訓練系統化思考與問題解析方法(暢銷回饋版),榮欽科技,中文書,9,504,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011016579/page/1/idx/43/cat/001/pdf/1/spell/3
Certiport ITS Python程式語言核心能力國際認證應考攻略,黃信溢,中文書,9,225,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010957754/page/1/idx/44/cat/001/pdf/1/spell/3
Deep Learning：用Python進行深度學習的基礎理論實作,斎藤康毅  吳嘉芳,中文書,9,522,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010761759/page/1/idx/45/cat/001/pdf/1/spell/3
Python 大數據專案 X 工程 X 產品 資料工程師的升級攻略(第二版),林子軒,中文書,79,616,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010964744/page/1/idx/46/cat/001/pdf/1/spell/3
Python資料科學學習手冊(第二版),Jake VanderPlas  何敏煌,中文書,9,882,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010974538/page/1/idx/47/cat/001/pdf/1/spell/3
Python資料分析必備套件!Pandas資料清理、重塑、過濾、視覺化,Matt Harrison  Theodore Petrou  李侑穎  蔣佑仁,中文書,95,741,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010908742/page/1/idx/48/cat/001/pdf/1/spell/3
Python遊戲開發講座入門篇|基礎知識與RPG遊戲,廣瀬豪  許郁文,中文書,9,675,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010912190/page/1/idx/49/cat/001/pdf/1/spell/3
超簡單Python+MicroPython物聯網應用：堆積木寫程式輕鬆學習軟硬體整合(第三版),陳會安,中文書,66,475,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011001053/page/1/idx/50/cat/001/pdf/1/spell/3
必學!Python 資料科學‧機器學習最強套件：NumPy、Pandas、Matplotlib、OpenCV、scikit-learn、tf.Keras,石川聡彦  劉金讓,中文書,95,646,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010888154/page/1/idx/51/cat/001/pdf/1/spell/3
流暢的 Python|清晰、簡潔、高效的程式設計 第二版,Luciano Ramalho  賴屹民,中文書,9,1080,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010968508/page/1/idx/52/cat/001/pdf/1/spell/3
少年Py的大冒險：成為Python AI深度學習達人的第一門課(修訂版),林澤佑  焉然   蔡炎龍  黃瑜萍,中文書,95,551,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011005399/page/1/idx/53/cat/001/pdf/1/spell/3
Python量化研究實作：Deepnote雲端平台應用,洪煌佳,中文書,95,428,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011018908/page/1/idx/54/cat/001/pdf/1/spell/3
Real Python 人氣站長教你動手寫程式 - 不說教也能心領神會的引導式實作課,Dan Bader  David Amos  Fletcher Heisler  Joanna Jablonski  蔣佑仁,中文書,95,713,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010955256/page/1/idx/55/cat/001/pdf/1/spell/3
少年Py的大冒險：成為Python數據分析達人的第一門課(第二版),季佳琪  蔡炎龍  陳先灝,中文書,95,428,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010988928/page/1/idx/56/cat/001/pdf/1/spell/3
Python從初學到生活應用超實務(電腦視覺與AI加強版)：讓Python幫你處理日常生活與工作中繁瑣重複的工作,陳會安,中文書,75,487,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010924880/page/1/idx/57/cat/001/pdf/1/spell/3
跨領域學 Python：資料科學基礎養成,施威銘研究室,中文書,95,456,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010876198/page/1/idx/58/cat/001/pdf/1/spell/3
絕對會Python用場!驚人的程式妙用,陳思涵,中文書,79,537,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010972617/page/1/idx/59/cat/001/pdf/1/spell/3
Python機器學習與深度學習特訓班(第二版)：看得懂也會做的AI人工智慧實戰(附120分鐘影音教學/範例程式),文淵閣工作室,中文書,9,468,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010888957/page/1/idx/60/cat/001/pdf/1/spell/3
超圖解 Python 程式設計入門,趙英傑,中文書,95,618,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010826519/page/2/idx/1/cat/001/pdf/1/spell/3
Python資料科學自學聖經：不只是建模!用實戰帶你預測趨勢、找出問題與發現價值(附關鍵影音教學、範例檔),文淵閣工作室  鄧文淵,中文書,9,522,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010923134/page/2/idx/2/cat/001/pdf/1/spell/3
Python+OpenCV：機器學習+深度學習40大電腦視覺案例入門到實戰,李立宗,中文書,9,1080,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010949155/page/2/idx/3/cat/001/pdf/1/spell/3
Python 資料結構×演算法 刷題鍛鍊班：234 題帶你突破 Coding 面試的難關,謝樹明,中文書,95,618,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010943757/page/2/idx/4/cat/001/pdf/1/spell/3
Python X ChatGPT程式設計實務：從入門到精通step by step,榮欽科技,中文書,75,510,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010989998/page/2/idx/5/cat/001/pdf/1/spell/3
圖說演算法-使用Python(第二版)【好評回饋版】,吳燦銘  胡昭民,中文書,9,450,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010989833/page/2/idx/6/cat/001/pdf/1/spell/3
AI世代必備!Python×ChatGPT高效率工作術：從網路爬蟲到辦公室自動化超實務,陳會安,中文書,7,476,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010959422/page/2/idx/7/cat/001/pdf/1/spell/3
手術刀般精準的FRM：用Python科學管控財金風險(基礎篇),塗升  姜偉生  安然  梁健斌  蘆葦,中文書,9,792,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010945976/page/2/idx/8/cat/001/pdf/1/spell/3
APCS 完全攻略：從新手到高手，Python 解題必備!(暢銷回饋版),吳燦銘  胡昭民,中文書,75,487,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010964774/page/2/idx/9/cat/001/pdf/1/spell/3
Python自學聖經(第二版)：從程式素人到開發強者的技術與實戰大全(附影音/範例程式),文淵閣工作室,中文書,9,792,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010892834/page/2/idx/10/cat/001/pdf/1/spell/3
Python程式入門與ChatGPT實用技巧：聰明使用AI小幫手，輕鬆提升程式撰寫效率,榮欽科技,中文書,66,475,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010989732/page/2/idx/11/cat/001/pdf/1/spell/3
【最新ITS認證版】Python零基礎入門班(含ITS Python國際認證模擬試題),文淵閣工作室,中文書,9,378,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010907645/page/2/idx/12/cat/001/pdf/1/spell/3
Python 金融分析(第二版),Yves Hilpisch  賴屹民,中文書,9,882,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010840414/page/2/idx/13/cat/001/pdf/1/spell/3
Python遊戲開發講座|演算法篇,廣瀬豪  許郁文,中文書,9,558,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010949951/page/2/idx/14/cat/001/pdf/1/spell/3
最新Python基礎必修課(含ITS Python國際認證模擬試題),何嘉益  張力元  張志成  蔡文龍,中文書,9,405,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010911014/page/2/idx/15/cat/001/pdf/1/spell/3
一本精通：PyQt5 & PyQt6 軟體介面開發,OXXO （張宗彥）,中文書,79,703,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010961352/page/2/idx/16/cat/001/pdf/1/spell/3
看圖學Python人工智慧程式設計(附範例光碟),陳會安,中文書,95,456,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010933641/page/2/idx/17/cat/001/pdf/1/spell/3
C的快速+Python的易學：Go語言全功能開發養成書,晁岳攀（@鳥窩）,中文書,9,792,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010991366/page/2/idx/18/cat/001/pdf/1/spell/3
Python視窗GUI設計 活用tkinter之路 王者歸來(第四版),洪錦魁,中文書,79,568,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010940528/page/2/idx/19/cat/001/pdf/1/spell/3
Python大數據特訓班(第三版)：資料自動化收集、整理、清洗、儲存、分析與應用實戰(附320分鐘影音/範例程式),文淵閣工作室,中文書,9,468,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010938796/page/2/idx/20/cat/001/pdf/1/spell/3
機器學習：彩色圖解 + 基礎數學篇 + Python實作 王者歸來(第二版),洪錦魁,中文書,79,537,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010890719/page/2/idx/21/cat/001/pdf/1/spell/3
