書名,作者,語言,折扣,價格,連結
SQL × Power Automate × Python 自動化 Excel 與 Pandas 資料分析,陳會安,中文書,7,455,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010984476/page/5/idx/19/cat/001/pdf/1/spell/3
深度學習的數學地圖：用 Python 實作神經網路的數學模型(附數學快查學習地圖),Masanori Akaishi  王心薇  章奇煒,中文書,95,551,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010857799/page/5/idx/20/cat/001/pdf/1/spell/3
Python 資料科學實戰教本：爬蟲、清理、資料庫、視覺化、探索式分析、機器學習建模，數據工程一次搞定!,陳會安,中文書,95,646,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010932677/page/5/idx/21/cat/001/pdf/1/spell/3
Python程式設計與OpenAI API應用：零基礎建構非同步GUI的AI聊天機器人,王進德,中文書,75,450,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010973879/page/5/idx/22/cat/001/pdf/1/spell/3
AI時代Math元年 : 用Python全精通矩陣及線性代數,姜偉生,中文書,9,1152,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010983520/page/5/idx/23/cat/001/pdf/1/spell/3
FLAG’S 創客‧自造者工作坊 用創客玩 ChatGPT x Python AI 語音大應用,施威銘研究室,中文書,95,1519,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010980729/page/5/idx/24/cat/001/pdf/1/spell/3
Keras大神歸位：深度學習全面進化!用 Python 實作CNN、RNN、GRU、LSTM、GAN、VAE、Transformer,François Chollet  林采薇  黃逸華,中文書,95,1140,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010926182/page/5/idx/25/cat/001/pdf/1/spell/3
AI時代Math元年：用Python全精通數學要素,姜偉生,中文書,9,882,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010970136/page/5/idx/26/cat/001/pdf/1/spell/3
【圖解】零基礎入門Excel╳Python高效工作術：輕鬆匯入大量資料、交叉分析、繪製圖表，連PDF轉檔都能自動化處理，讓效率倍增,金宏和實  許郁文,中文書,9,450,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010900657/page/5/idx/27/cat/001/pdf/1/spell/3
APCS 7級必勝秘笈：學習、練習、突破|觀念題C+實作題Python,吳進北,中文書,9,405,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011004302/page/5/idx/28/cat/001/pdf/1/spell/3
Python機器學習第三版(上),Sebastian Raschka  Vahid Mirjalili  劉立民  吳建華,中文書,75,465,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010869555/page/5/idx/29/cat/001/pdf/1/spell/3
Deep Learning 4|用Python進行強化學習的開發實作,斎藤康毅  吳嘉芳,中文書,9,612,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010967384/page/5/idx/30/cat/001/pdf/1/spell/3
"銷售 AI 化!看資料科學家如何思考, 用 Python 打造能賺錢的機器學習模型",Masanori Akaishi  王心薇,中文書,95,589,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010915647/page/5/idx/31/cat/001/pdf/1/spell/3
東京大學資料科學家養成全書：使用Python動手學習資料分析,中山浩太郎（監修）  塚本邦尊  大澤文孝  山田典一  松尾豐（協力）  莊永裕,中文書,79,616,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010859473/page/5/idx/32/cat/001/pdf/1/spell/3
Python：加密貨幣CTA量化交易111個實戰技巧,劉承彥,中文書,75,450,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010966376/page/5/idx/33/cat/001/pdf/1/spell/3
Python：股票×ETF量化交易實戰105個活用技巧(第二版),劉承彥,中文書,9,594,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010984758/page/5/idx/34/cat/001/pdf/1/spell/3
動手玩Python / MicroPython：ESP32物聯網互動設計,楊明豐,中文書,9,594,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010975367/page/5/idx/35/cat/001/pdf/1/spell/3
動手就能上手：看Excel VBA學Python資料處理自動化,童大謙,中文書,9,792,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010958442/page/5/idx/36/cat/001/pdf/1/spell/3
密碼管理系統理論與實作：使用 Python 的 Crypto、Tkinter 與 Django 套件,廖翊辰  林岱銳  陳仕勳  陳語軒,中文書,66,429,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010955650/page/5/idx/37/cat/001/pdf/1/spell/3
Python機器學習第三版(下),Sebastian Raschka  Vahid Mirjalili  劉立民  吳建華,中文書,9,468,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010871454/page/5/idx/38/cat/001/pdf/1/spell/3
超圖解資料科學 ✕ 機器學習實戰探索：使用 Python,楊清鴻  王雅惠  陳宗和  陳瑞泓,中文書,95,532,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010893222/page/5/idx/39/cat/001/pdf/1/spell/3
金融風險管理的機器學習應用|使用Python,Abdullah Karasan  楊新章,中文書,9,612,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010960299/page/5/idx/40/cat/001/pdf/1/spell/3
程式語言第2版入門特訓教材 Python,林英志,中文書,9,495,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010983126/page/5/idx/41/cat/001/pdf/1/spell/3
【圖解】從入門到精通Excel╳Python資料處理術：搭配工作實務場景，輕鬆學會除錯、擷取、排序、彙整指定數據，製作QR碼也沒問題,金宏和實  許郁文,中文書,9,450,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010939833/page/5/idx/42/cat/001/pdf/1/spell/3
Python × Excel的12堂關鍵必修課：資料分析自動化的194個高效實戰例,吳燦銘,中文書,7,455,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010952901/page/5/idx/43/cat/001/pdf/1/spell/3
無痛上手量化合約程式交易：Python × Pandas × TA-Lib從零打造專屬量化合約機器人,張嘉慶,中文書,75,495,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010951146/page/5/idx/44/cat/001/pdf/1/spell/3
零基礎入門的機器學習圖鑑：2大類機器學習╳ 17種演算法 ╳ Python基礎教學，讓你輕鬆學以致用,寺田學  杉山阿聖  秋庭伸也  周若珍,中文書,9,405,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010879493/page/5/idx/45/cat/001/pdf/1/spell/3
實戰Python Flask開發|基礎知識x物件偵測x機器學習應用,佐藤昌基  寺田學  平田哲也  衛宮紘,中文書,9,558,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010941842/page/5/idx/46/cat/001/pdf/1/spell/3
Python for Excel|自動化與資料分析的現代開發環境,Felix Zumstein  沈佩誼,中文書,9,522,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010908381/page/5/idx/47/cat/001/pdf/1/spell/3
技術士技能檢定 電腦軟體設計丙級學術科|Python解題,吳進北  林文恭研究室,中文書,9,315,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011004854/page/5/idx/48/cat/001/pdf/1/spell/3
超高效!Python × Excel資料分析自動化：輕鬆打造你的完美工作法!,吳燦銘,中文書,7,420,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010923033/page/5/idx/49/cat/001/pdf/1/spell/3
使用Python取代Excel VBA的10堂課,童大謙,中文書,,349,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010932247/page/5/idx/50/cat/001/pdf/1/spell/3
圖解機器學習與資料科學的數學基礎|使用Python,千葉彌平  松田雄馬  露木宏志  許郁文,中文書,9,585,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010927947/page/5/idx/51/cat/001/pdf/1/spell/3
APCS大學程式設計先修檢測完勝教材-使用C & Python,何嘉益  張力元  張志成  蔡文龍,中文書,9,450,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010968750/page/5/idx/52/cat/001/pdf/1/spell/3
Python與物聯網程式開發終極實戰寶典,曾吉弘,中文書,7,434,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010919923/page/5/idx/53/cat/001/pdf/1/spell/3
AI影像深度學習啟蒙：用python進行人臉口罩識別,廖源粕,中文書,79,695,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010904842/page/5/idx/54/cat/001/pdf/1/spell/3
TQC+ Python3.x 機器學習基礎與應用特訓教材,林英志,中文書,9,531,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010886529/page/5/idx/55/cat/001/pdf/1/spell/3
物聯網實戰：使用樹莓派/Arduino/ESP8266 NodeMCU/Python/Node-RED打造安全監控系統(修訂版),林聖泉,中文書,5,325,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010951612/page/5/idx/56/cat/001/pdf/1/spell/3
用micro:bit + Python寫程式當創客!培養創造力,李啟龍  林育安  詹庭任,中文書,9,252,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010840666/page/5/idx/57/cat/001/pdf/1/spell/3
從統計思維出發：用Python實作的機器學習範例,董平,中文書,9,792,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010981887/page/5/idx/58/cat/001/pdf/1/spell/3
超入門實作 Python R2多功能智能車 - 使用Raspberry Pi 4B (IPOE R2) - 最新版 -附MOSME行動學習一點通：診斷‧加值,李文昌  陳致中,中文書,9,495,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010928833/page/5/idx/59/cat/001/pdf/1/spell/3
進擊的資料科學：Python與R的應用實作,郭耀仁,中文書,9,522,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010827812/page/5/idx/60/cat/001/pdf/1/spell/3
Flag’s 創客‧自造者工作坊 用 Python 學物聯網,施威銘研究室,中文書,95,949,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010823933/page/6/idx/1/cat/001/pdf/1/spell/3
Raspberry Pi x Python x Prolog：虛實整合的AI人工智慧專案開發實戰,Donald J. Norris  曾吉弘,中文書,9,522,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010801697/page/6/idx/2/cat/001/pdf/1/spell/3
Python深度學習實作：Keras快速上手,勞虹嵐  謝梁  魯穎  廖信彥,中文書,,149,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010790699/page/6/idx/3/cat/001/pdf/1/spell/3
NLP大神RNN網路：Python原始程式碼手把手帶你寫,曲宗峰  李永華  李紅偉,中文書,9,801,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010913521/page/6/idx/4/cat/001/pdf/1/spell/3
精通資料分析|使用Excel、Python和R,George Mount  沈佩誼,中文書,9,468,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010914301/page/6/idx/5/cat/001/pdf/1/spell/3
Python資料科學與機器學習：從入門到實作必備攻略,Frank Kane  陳光欣,中文書,9,585,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010900123/page/6/idx/6/cat/001/pdf/1/spell/3
超入門實作 Python AIoT智能物聯網：使用Raspberry Pi 4B (iPOE R0+R1)(最新版),李文昌  陳致中,中文書,9,495,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010864983/page/6/idx/7/cat/001/pdf/1/spell/3
Django從平凡到超凡：Python架站實作演練,唐元亮,中文書,95,361,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010854217/page/6/idx/8/cat/001/pdf/1/spell/3
Flag’s 創客‧自造者工作坊 學 Python 玩創客,施威銘研究室,中文書,95,759,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010809465/page/6/idx/9/cat/001/pdf/1/spell/3
物聯網實戰(ESP32篇)： 使用樹莓派/NodeMCU-32S/Python/MicroPython/Node-RED打造安全監控系統(修訂版),林聖泉,中文書,7,455,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010949634/page/6/idx/10/cat/001/pdf/1/spell/3
Arduino 專題製作與應用：Python連線控制篇,陳明熒,中文書,,349,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010927911/page/6/idx/11/cat/001/pdf/1/spell/3
集成式學習：Python 實踐!整合全部技術，打造最強模型,George Kyriakides  Konstantinos G. Margaritis  張康寶,中文書,95,713,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010915645/page/6/idx/12/cat/001/pdf/1/spell/3
創客.自造者工作坊 Python 黑科技：電話按鍵竊聽器、雷射/風速傳訊器,施威銘研究室,中文書,95,1044,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010867208/page/6/idx/13/cat/001/pdf/1/spell/3
輕鬆學習人工智慧應用：使用Python和iPOE A6 AI影像無人車,連宏城  連紹傑  陳秋燕  高湋宸,中文書,9,360,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010867731/page/6/idx/14/cat/001/pdf/1/spell/3
輕課程 遇見樹莓派：使用Python入門趣玩GPIO 最新版(第二版),乾龍工作室  陳致中,中文書,9,270,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010858024/page/6/idx/15/cat/001/pdf/1/spell/3
跟阿志哥學Python(第七版),蔡明志,中文書,95,494,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011012405/page/6/idx/16/cat/001/pdf/1/spell/3
科學方法賺大錢：Python進行商品期貨量化交易(二版),史超  胡凱博,中文書,79,568,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011002697/page/6/idx/17/cat/001/pdf/1/spell/3
Python 程式設計：AI與資料科學應用(三版),劉立民  編著,中文書,95,551,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010999445/page/6/idx/18/cat/001/pdf/1/spell/3
數位影像處理：使用Matlab與 C++ / Python語言,簡伯霖,中文書,95,646,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011013912/page/6/idx/19/cat/001/pdf/1/spell/3
數位影像處理：Python程式實作(第三版)(附範例光碟),張元翔,中文書,95,570,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010923809/page/6/idx/20/cat/001/pdf/1/spell/3
數位訊號處理：Python程式實作(第三版)(附範例光碟),張元翔,中文書,95,589,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010986011/page/6/idx/21/cat/001/pdf/1/spell/3
Python程式設計輕鬆學,張志宏  楊靜怡  簡廷軒  簡立仁  詹毓偉,中文書,95,428,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010999470/page/6/idx/22/cat/001/pdf/1/spell/3
計量經濟學導論I 橫斷面篇：使用Python語言(附光碟),林進益,中文書,95,656,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011015944/page/6/idx/23/cat/001/pdf/1/spell/3
Python程式設計：從入門到進階應用(第五版),黃建庭,中文書,95,475,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011018253/page/6/idx/24/cat/001/pdf/1/spell/3
Python視窗程式設計與AI遊戲製作(第二版),卓奕呈   曾雅靖  洪勤翔  陳延華,中文書,95,475,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011014418/page/6/idx/25/cat/001/pdf/1/spell/3
一行指令學Python：用機器學習掌握人工智慧(第二版),徐聖訓,中文書,95,494,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010953005/page/6/idx/26/cat/001/pdf/1/spell/3
人工智慧Python程式 設計,張陳基  許雲翔  陳靖元  黃琇苓,中文書,95,428,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010986490/page/6/idx/27/cat/001/pdf/1/spell/3
TQC+ 程式語言第2版入門特訓教材 Python,林英志  電腦技能基金會,中文書,95,523,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010984308/page/6/idx/28/cat/001/pdf/1/spell/3
跟阿志哥學Python(第六版)(附範例光碟),蔡明志,中文書,95,466,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010922256/page/6/idx/29/cat/001/pdf/1/spell/3
Python程式設計：從入門到進階應用(第四版)(附範例光碟),黃建庭,中文書,95,466,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010921273/page/6/idx/30/cat/001/pdf/1/spell/3
資料結構：Python程式實作,張元翔,中文書,95,475,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011014409/page/6/idx/31/cat/001/pdf/1/spell/3
一行指令學Python-用Pandas掌握商務大數據分析(第二版),徐聖訓,中文書,95,523,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010921275/page/6/idx/32/cat/001/pdf/1/spell/3
機器人理財入門PYTHON之應用,林忠機,中文書,95,504,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010966693/page/6/idx/33/cat/001/pdf/1/spell/3
APCS × Python解題思路(第二版),劉士華,中文書,95,399,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011001817/page/6/idx/34/cat/001/pdf/1/spell/3
看圖學Python：從程式設計入門到精通資料科學,陳會安,中文書,95,523,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010995417/page/6/idx/35/cat/001/pdf/1/spell/3
APCS大學程式先修檢測實戰指南：從基礎觀念到Python高效解題- 最新版 - 附MOSME行動學習一點通：評量.詳解.加值,蔡宜坦,中文書,9,396,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010972976/page/6/idx/36/cat/001/pdf/1/spell/3
少年Py的大冒險-成為Python AI深度學習達人的第一門課(附範例光碟),林澤佑  焉 然  蔡炎龍  黃瑜萍,中文書,95,551,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010936350/page/6/idx/37/cat/001/pdf/1/spell/3
管理數學、Python與R：邊玩程式邊學數學，不小心變成數據分析高手(3版),何宗武,中文書,95,523,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010959906/page/6/idx/38/cat/001/pdf/1/spell/3
Raspberry Pi最佳入門與應用(Python)(第四版)(附範例光碟),王玉樹,中文書,95,456,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010944395/page/6/idx/39/cat/001/pdf/1/spell/3
財金計算：使用Python語言,林進益,中文書,,399,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010958720/page/6/idx/40/cat/001/pdf/1/spell/3
量表編製與統計分析：使用Python語言,陳新豐,中文書,95,494,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010954834/page/6/idx/41/cat/001/pdf/1/spell/3
TQC+ Python 3.x機器學習基礎與應用特訓教材,林英志  電腦技能基金會,中文書,95,561,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010888910/page/6/idx/42/cat/001/pdf/1/spell/3
看圖學Python+Excel辦公室自動化程式設計,陳會安,中文書,95,456,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010946641/page/6/idx/43/cat/001/pdf/1/spell/3
財務管理與Python實現,黃子倫,中文書,,399,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010979696/page/6/idx/44/cat/001/pdf/1/spell/3
數位訊號處理：Python程式實作(附範例光碟)(第二版),張元翔,中文書,95,475,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010840001/page/6/idx/45/cat/001/pdf/1/spell/3
機器學習：使用Python(附範例光碟),徐偉智,中文書,95,428,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010957323/page/6/idx/46/cat/001/pdf/1/spell/3
INTRODUCTION TO PYTHON PROGRAMMING (Taiwan Edition / 含Access Code),LIANG,中文書,,1700,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011011248/page/6/idx/47/cat/001/pdf/1/spell/3
TQC+Python 3.x網頁資料擷取與分析特訓教材,曹祥雲  電腦技能基金會,中文書,95,466,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010807484/page/6/idx/48/cat/001/pdf/1/spell/3
資料結構：使用Python(增訂版),黃建庭,中文書,95,523,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010994024/page/6/idx/49/cat/001/pdf/1/spell/3
資料結構：使用Python(附範例光碟),黃建庭,中文書,95,523,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010887487/page/6/idx/50/cat/001/pdf/1/spell/3
Python數據分析基礎：包含數據挖掘和機器學習,阮敬,中文書,75,510,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010830132/page/6/idx/51/cat/001/pdf/1/spell/3
輕鬆學Python程式設計,余建政,中文書,95,656,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010969503/page/6/idx/52/cat/001/pdf/1/spell/3
人工智慧：Python程式應用,陳若暉,中文書,95,494,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010949360/page/6/idx/53/cat/001/pdf/1/spell/3
輕鬆玩Python程式設計(第二版)(附範例光碟),黃建庭,中文書,95,304,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010921272/page/6/idx/54/cat/001/pdf/1/spell/3
運算思維與程式設計：Python程式實作(附範例光碟),張元翔,中文書,95,399,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010894141/page/6/idx/55/cat/001/pdf/1/spell/3
Raspberry Pi物聯網應用(Python)(附範例光碟),王玉樹,中文書,95,361,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010886135/page/6/idx/56/cat/001/pdf/1/spell/3
Raspberry Pi最佳入門與應用(Python)(第三版)(附範例光碟),王玉樹,中文書,95,447,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010878071/page/6/idx/57/cat/001/pdf/1/spell/3
Python自學聖經(第三版)：從程式素人到開發強者的技術、實戰與AI應用大全 (電子書),文淵閣工作室  鄧君如,中文電子書,88,774,https://search.books.com.tw/redirect/move/key/python/area/mid/item/E050254311/page/6/idx/58/cat/E05/pdf/1/spell/3
Python初學特訓班(第六版)：從快速入門、主流應用到AI全面實戰 (電子書),文淵閣工作室,中文電子書,88,431,https://search.books.com.tw/redirect/move/key/python/area/mid/item/E050246947/page/6/idx/59/cat/E05/pdf/1/spell/3
精通Python網路開發 (電子書),Eric Chou（周君逸）  皇文淵,中文電子書,88,862,https://search.books.com.tw/redirect/move/key/python/area/mid/item/E050259990/page/6/idx/60/cat/E05/pdf/1/spell/3
【最新ITS認證第二版】Python零基礎入門班(含ITS Python國際認證模擬試題) (電子書),文淵閣工作室  鄧君如,中文電子書,88,396,https://search.books.com.tw/redirect/move/key/python/area/mid/item/E050243126/page/7/idx/1/cat/E05/pdf/1/spell/3
Python：自動化股票網格交易實戰86個活用技巧 (電子書),劉承彥,中文電子書,88,528,https://search.books.com.tw/redirect/move/key/python/area/mid/item/E050238862/page/7/idx/2/cat/E05/pdf/1/spell/3
Python遊戲開發(PyGame基礎篇) (電子書),曹永忠  蔡英德  許智誠,中文電子書,88,400,https://search.books.com.tw/redirect/move/key/python/area/mid/item/E050243524/page/7/idx/3/cat/E05/pdf/1/spell/3
AI時代的Python高效學習書-ChatGPT程式助理新思維 (電子書),陳惠貞,中文電子書,,550,https://search.books.com.tw/redirect/move/key/python/area/mid/item/E050259991/page/7/idx/4/cat/E05/pdf/1/spell/3
Python零基礎入門班(第四版)：一次打好程式設計、運算思維與邏輯訓練基本功 (電子書),文淵閣工作室,中文電子書,,390,https://search.books.com.tw/redirect/move/key/python/area/mid/item/E050192192/page/7/idx/5/cat/E05/pdf/1/spell/3
少年Py的大冒險-成為Python AI深度學習達人的第一門課 (電子書),林澤佑  焉然   蔡炎龍  黃瑜萍,中文電子書,,435,https://search.books.com.tw/redirect/move/key/python/area/mid/item/E050242384/page/7/idx/6/cat/E05/pdf/1/spell/3
看圖學Python人工智慧程式設計(第二版) (電子書),陳會安,中文電子書,,390,https://search.books.com.tw/redirect/move/key/python/area/mid/item/E050263613/page/7/idx/7/cat/E05/pdf/1/spell/3
OpenAI API基礎必修課--使用Python(GPT-3.5、GPT-4、GPT-4o、DALL·E、TTS、Whisper模型) (電子書),何嘉益  張力元  張志成  蔡文龍,中文電子書,88,457,https://search.books.com.tw/redirect/move/key/python/area/mid/item/E050229664/page/7/idx/8/cat/E05/pdf/1/spell/3
應用密碼學：原理、分析與Python實現,劉卓  趙勇焜  黃領才,簡體書,79,473,https://search.books.com.tw/redirect/move/key/python/area/mid/item/CN12015356/page/7/idx/9/cat/CN1/pdf/1/spell/3
零基礎入門的Python自動化投資：10年操盤手團隊量化通，教你從零開始學程式交易，讓你輕鬆選股、判斷買賣時機，精準獲利 (電子書),量化通,中文電子書,,269,https://search.books.com.tw/redirect/move/key/python/area/mid/item/E050133764/page/7/idx/10/cat/E05/pdf/1/spell/3
Python：股票×ETF量化交易實戰105個活用技巧(第二版) (電子書),劉承彥,中文電子書,88,440,https://search.books.com.tw/redirect/move/key/python/area/mid/item/E050216795/page/7/idx/11/cat/E05/pdf/1/spell/3
SQL × Power Automate × Python 自動化 Excel 與 Pandas 資料分析 (電子書),陳會安,中文電子書,88,431,https://search.books.com.tw/redirect/move/key/python/area/mid/item/E050216789/page/7/idx/12/cat/E05/pdf/1/spell/3
Python 視窗程式設計與AI 遊戲製作(第二版) (電子書),卓奕呈   曾雅靖  洪勤翔  陳延華,中文電子書,,375,https://search.books.com.tw/redirect/move/key/python/area/mid/item/E050254319/page/7/idx/13/cat/E05/pdf/1/spell/3
快速學會Python架站技術：活用Django 4建構動態網站的16堂課 (電子書),何敏煌  林亮昀,中文電子書,,590,https://search.books.com.tw/redirect/move/key/python/area/mid/item/E050161207/page/7/idx/14/cat/E05/pdf/1/spell/3
Python 程式設計基石：基礎概念與實戰應用全攻略 (電子書),袁儀齡  袁葆宏,中文電子書,,680,https://search.books.com.tw/redirect/move/key/python/area/mid/item/E050256028/page/7/idx/15/cat/E05/pdf/1/spell/3
AI世代高中生也能輕鬆搞懂的運算思維與演算法-使用Python (電子書),吳燦銘,中文電子書,88,281,https://search.books.com.tw/redirect/move/key/python/area/mid/item/E050089505/page/7/idx/16/cat/E05/pdf/1/spell/3
Python：加密貨幣CTA量化交易111個實戰技巧 (電子書),劉承彥,中文電子書,88,396,https://search.books.com.tw/redirect/move/key/python/area/mid/item/E050184379/page/7/idx/17/cat/E05/pdf/1/spell/3
【圖解】零基礎入門Excel╳Python高效工作術：輕鬆匯入大量資料、交叉分析、繪製圖表，連PDF轉檔都能自動化處理，讓效率倍增 (電子書),金宏和實  許郁文,中文電子書,,299,https://search.books.com.tw/redirect/move/key/python/area/mid/item/E050102771/page/7/idx/18/cat/E05/pdf/1/spell/3
Python貝葉斯深度學習,（英）馬特·貝納坦，（英）約赫姆·吉特馬，（英）瑪麗安·施耐特  郭濤,簡體書,79,378,https://search.books.com.tw/redirect/move/key/python/area/mid/item/CN12014975/page/7/idx/19/cat/CN1/pdf/1/spell/3
技術士技能檢定 電腦軟體設計丙級學術科|Python解題 (電子書),吳進北  林文恭研究室,中文電子書,,350,https://search.books.com.tw/redirect/move/key/python/area/mid/item/E050246938/page/7/idx/20/cat/E05/pdf/1/spell/3
APCS 7級必勝秘笈：學習、練習、突破|觀念題C+實作題Python (電子書),吳進北,中文電子書,,450,https://search.books.com.tw/redirect/move/key/python/area/mid/item/E050246937/page/7/idx/21/cat/E05/pdf/1/spell/3
Python AI遊戲編程入門：基於Pygame和PyTorch,肖凱,簡體書,87,412,https://search.books.com.tw/redirect/move/key/python/area/mid/item/CN12015354/page/7/idx/22/cat/CN1/pdf/1/spell/3
實戰Python Flask開發|基礎知識x物件偵測x機器學習應用 (電子書),佐藤昌基  寺田學  平田哲也  衛宮紘,中文電子書,,620,https://search.books.com.tw/redirect/move/key/python/area/mid/item/E050152781/page/7/idx/23/cat/E05/pdf/1/spell/3
高效率Python自動化工作術|快速解決Excel、Word、PDF資料處理 (電子書),森巧尚  許郁文,中文電子書,,520,https://search.books.com.tw/redirect/move/key/python/area/mid/item/E050177971/page/7/idx/24/cat/E05/pdf/1/spell/3
ROS 2 from Scratch: Get started with ROS 2 and create robotics applications with Python and C++,Edouard  Renard,外文書,,2199,https://search.books.com.tw/redirect/move/key/python/area/mid/item/F01a984757/page/7/idx/25/cat/F01/pdf/1/spell/3
Python：量化交易Ta-Lib技術指標139個活用技巧 (電子書),劉承彥  郭永舜,中文電子書,,470,https://search.books.com.tw/redirect/move/key/python/area/mid/item/E050144033/page/7/idx/26/cat/E05/pdf/1/spell/3
